DATE,PRCP,TAVG,TMAX,TMIN,COUNTRY
19800101 000000,,54.0,61.0,43.0,Tunisia
19800101 000000,,49.0,55.0,41.0,Tunisia
19800101 000000,0.0,72.0,86.0,59.0,Cameroon
19800101 000000,,50.0,55.0,43.0,Tunisia
19800101 000000,,75.0,91.0,,Cameroon
19800101 000000,,52.0,61.0,45.0,Tunisia
19800101 000000,0.0,76.0,97.0,59.0,Senegal
19800101 000000,0.0,74.0,95.0,59.0,Senegal
19800101 000000,0.0,78.0,93.0,63.0,Senegal
19800101 000000,0.0,76.0,91.0,59.0,Senegal
19800101 000000,0.0,56.0,72.0,45.0,Egypt
19800101 000000,,84.0,99.0,,Senegal
19800101 000000,0.12,54.0,68.0,43.0,Egypt
19800101 000000,0.0,74.0,81.0,66.0,Senegal
19800101 000000,,86.0,97.0,,Senegal
19800101 000000,0.0,78.0,95.0,63.0,Senegal
19800101 000000,0.0,61.0,,46.0,Egypt
19800101 000000,0.0,75.0,91.0,61.0,Senegal
19800101 000000,0.0,74.0,91.0,60.0,Senegal
19800101 000000,0.0,80.0,97.0,66.0,Senegal
19800101 000000,0.0,,,,Angola
19800101 000000,0.0,80.0,97.0,68.0,Senegal
19800101 000000,0.0,84.0,91.0,,Cameroon
19800101 000000,,49.0,52.0,,Tunisia
19800101 000000,0.0,,94.0,62.0,Senegal
19800102 000000,0.0,75.0,93.0,56.0,Senegal
19800102 000000,0.0,,94.0,62.0,Senegal
19800102 000000,0.0,80.0,99.0,64.0,Senegal
19800102 000000,0.0,82.0,96.0,59.0,Senegal
19800102 000000,0.0,76.0,95.0,59.0,Senegal
19800102 000000,0.0,59.0,72.0,45.0,Egypt
19800102 000000,0.0,75.0,91.0,61.0,Cameroon
19800102 000000,0.0,78.0,97.0,63.0,Senegal
19800102 000000,,59.0,66.0,48.0,Tunisia
19800102 000000,0.0,79.0,97.0,70.0,Senegal
19800102 000000,0.0,,,,Angola
19800102 000000,0.0,73.0,79.0,70.0,Senegal
19800102 000000,0.0,79.0,95.0,55.0,Senegal
19800102 000000,,82.0,97.0,,Senegal
19800102 000000,0.0,78.0,94.0,59.0,Senegal
19800102 000000,,54.0,63.0,48.0,Tunisia
19800102 000000,0.0,81.0,90.0,75.0,Cameroon
19800102 000000,0.0,77.0,97.0,59.0,Senegal
19800102 000000,0.0,76.0,95.0,59.0,Cameroon
19800102 000000,,54.0,61.0,46.0,Tunisia
19800102 000000,0.0,72.0,91.0,63.0,Senegal
19800102 000000,0.0,58.0,,46.0,Egypt
19800102 000000,,58.0,70.0,50.0,Tunisia
19800102 000000,,55.0,63.0,,Tunisia
19800103 000000,0.0,80.0,100.0,64.0,Senegal
19800103 000000,0.0,55.0,,45.0,Egypt
19800103 000000,0.0,82.0,99.0,62.0,Senegal
19800103 000000,,54.0,61.0,46.0,Tunisia
19800103 000000,,50.0,57.0,43.0,Tunisia
19800103 000000,,82.0,97.0,,Senegal
19800103 000000,0.0,,,,Angola
19800103 000000,,51.0,57.0,46.0,Tunisia
19800103 000000,0.0,80.0,96.0,62.0,Senegal
19800103 000000,0.0,55.0,,43.0,Egypt
19800103 000000,,84.0,95.0,,Senegal
19800103 000000,0.0,80.0,97.0,63.0,Senegal
19800103 000000,0.0,72.0,,68.0,Senegal
19800103 000000,0.0,72.0,93.0,59.0,Senegal
19800103 000000,0.0,82.0,95.0,66.0,Senegal
19800103 000000,0.0,,96.0,59.0,Senegal
19800103 000000,0.0,77.0,94.0,59.0,Senegal
19800103 000000,0.0,80.0,91.0,73.0,Cameroon
19800103 000000,0.0,78.0,99.0,61.0,Senegal
19800103 000000,,48.0,52.0,46.0,Tunisia
19800103 000000,0.0,74.0,95.0,61.0,Senegal
19800103 000000,,47.0,52.0,45.0,Tunisia
19800103 000000,0.0,62.0,73.0,45.0,Egypt
19800104 000000,0.0,77.0,91.0,64.0,Senegal
19800104 000000,0.0,72.0,79.0,66.0,Senegal
19800104 000000,0.0,79.0,99.0,63.0,Cameroon
19800104 000000,0.0,,,,Angola
19800104 000000,0.0,83.0,95.0,66.0,Senegal
19800104 000000,,46.0,54.0,34.0,Tunisia
19800104 000000,0.0,56.0,64.0,,Egypt
19800104 000000,,48.0,,41.0,Tunisia
19800104 000000,,53.0,64.0,,Tunisia
19800104 000000,0.0,74.0,97.0,63.0,Senegal
19800104 000000,0.0,83.0,95.0,59.0,Senegal
19800104 000000,0.0,77.0,91.0,64.0,Senegal
19800104 000000,0.0,67.0,90.0,50.0,Cameroon
19800104 000000,0.0,,96.0,61.0,Senegal
19800104 000000,0.0,79.0,95.0,62.0,Senegal
19800104 000000,0.0,80.0,97.0,66.0,Senegal
19800104 000000,0.0,73.0,95.0,61.0,Senegal
19800104 000000,,51.0,61.0,39.0,Tunisia
19800104 000000,0.0,56.0,,45.0,Egypt
19800104 000000,0.0,80.0,96.0,63.0,Senegal
19800104 000000,0.0,80.0,97.0,64.0,Senegal
19800104 000000,0.0,80.0,90.0,73.0,Cameroon
19800104 000000,0.0,71.0,,63.0,Senegal
19800104 000000,,50.0,59.0,41.0,Tunisia
19800105 000000,,81.0,91.0,,Cameroon
19800105 000000,0.0,76.0,86.0,66.0,Senegal
19800105 000000,0.0,46.0,,45.0,Egypt
19800105 000000,0.0,70.0,91.0,61.0,Senegal
19800105 000000,,45.0,63.0,30.0,Tunisia
19800105 000000,0.0,76.0,86.0,68.0,Senegal
19800105 000000,,51.0,68.0,41.0,Tunisia
19800105 000000,0.0,53.0,57.0,,Egypt
19800105 000000,0.0,81.0,91.0,70.0,Senegal
19800105 000000,0.0,,94.0,66.0,Senegal
19800105 000000,0.0,71.0,79.0,66.0,Senegal
19800105 000000,0.0,,,,Angola
19800105 000000,0.0,75.0,93.0,57.0,Senegal
19800105 000000,0.0,77.0,91.0,64.0,Cameroon
19800105 000000,0.0,82.0,95.0,62.0,Senegal
19800105 000000,0.0,78.0,99.0,61.0,Cameroon
19800105 000000,0.0,57.0,66.0,46.0,Egypt
19800105 000000,0.0,83.0,95.0,58.0,Senegal
19800105 000000,,51.0,63.0,45.0,Tunisia
19800105 000000,0.0,74.0,95.0,61.0,Senegal
